reference_time,total_swaps,wallet
2026-04-04 14:57:11.000 UTC,5,0x122b799f28cb56c4bd420a5ce7d2f3a430b5b33c
2026-04-04 14:56:59.000 UTC,5,0x19f39a56a0b9a954b8ff6e5e4fc0e9fbf1661e1a
2026-04-04 14:52:59.000 UTC,5,0x7a8ef46b1dce48c37032182958b39050c51bd51f
2026-04-04 14:46:11.000 UTC,9,0xf1e78f02598e317697711cb45d5bc812e3239886
2026-04-04 14:34:47.000 UTC,12,0x7eda4853ffa414bfde999aa625b9cd3ed4de7c29
2026-04-04 14:31:11.000 UTC,5,0xb6cb9a756ad60ed96e2c89760c9825032b3efb07
2026-04-04 14:17:47.000 UTC,7,0x7dedd266570bd119693dde10979786e74584379b
2026-04-04 14:09:35.000 UTC,6,0xeca9e1f0bfe228a0dc106aa935b37fb711d93acc
2026-04-04 14:08:23.000 UTC,15,0xcbb9111598c7a285ceb4b42da63f943471d8ab88
2026-04-04 14:06:11.000 UTC,9,0x78be0b86dfd7c88ce10c155ccf272f5cae0cb36b
2026-04-04 13:55:23.000 UTC,7,0x20425b7cd1984a22131e2dc732910975e94d572b
2026-04-04 13:50:23.000 UTC,6,0xb270df6cc3b8aae501e6c4d97db0102f4b3a8fe1
2026-04-04 13:48:47.000 UTC,5,0x5b4ffa088867999064bb2f9fd5175516f1e868a5
2026-04-04 13:47:59.000 UTC,5,0x408de9fe613e8c6b7fee5a3d4ccf63f63cd88c66
2026-04-04 13:47:11.000 UTC,5,0x077df3cc5c27e75613ee679e4345fd2092be017a
2026-04-04 13:42:11.000 UTC,22,0xbc8fb39d26352c2c0c9aa3daeb45f5caa3ea7c18
2026-04-04 13:35:47.000 UTC,9,0x61c9c8fc21db9a5988edb4d1c8c1be13b88b7d1c
2026-04-04 13:28:23.000 UTC,5,0xd8857323c4356b71a3fef7b48fb3314be91ff9ab
2026-04-04 13:05:47.000 UTC,18,0xf3a07d0beb76a36c5964d8ca58149ed4ee70b78d
2026-04-04 12:57:23.000 UTC,5,0x9971627bbb16a50f84225f85c14f155d5a4a0984
2026-04-04 12:53:23.000 UTC,5,0x864b676063033ae19ca7a6940d3908225b466d0e
2026-04-04 12:50:23.000 UTC,39,0xbb8489871d2b9dfd27025f3ccc51f1e984258a70
2026-04-04 12:50:23.000 UTC,6,0xe028efaa1e707f38c1a262116d4c3cf0ae49997c
2026-04-04 12:26:59.000 UTC,7,0x86f523b1b4f6ace35b1889fa274302075b094d14
2026-04-04 12:15:11.000 UTC,5,0x9bcc8c8d0c9cedb44aabf37ef8fa7dd088f72b06
2026-04-04 12:04:35.000 UTC,5,0xf1fdac30c65ed62bcfd59225773ac01526d65471
2026-04-04 12:01:11.000 UTC,5,0xa50f629e73fccd7734fe2b1eac39e6c1322098b6
2026-04-04 12:00:59.000 UTC,5,0x1891939aaee1b5d4ae28f14e4dc8db4f79da9dd3
2026-04-04 11:56:59.000 UTC,6,0x23279417e670ace40ccc20e96587897879e27147
2026-04-04 11:55:47.000 UTC,18,0xd776c9335048e0e02d2e23c347c06d3f1790f674
2026-04-04 11:52:23.000 UTC,5,0xbbaf8cae0ce9970409d15a415a7292ac98f165e9
2026-04-04 11:50:11.000 UTC,7,0x20f5549b48419164089fc339d6b2aa6a5f18aaf9
2026-04-04 11:43:23.000 UTC,7,0xcbf058449f79af26e41076a36aa722e81daec4d0
2026-04-04 11:24:59.000 UTC,7,0xf06a175fcb44a650a68ee332be7930a899ba8987
2026-04-04 11:22:23.000 UTC,6,0x37ebca7d5de0d8c6dbc67ed468cf2d5bf7128198
2026-04-04 11:20:23.000 UTC,6,0xf9314545dc08eb14fc729b6357efe0e37fb643e8
2026-04-04 11:15:35.000 UTC,5,0xe497bef49563d22366a465a6cfa42b123db6c604
2026-04-04 11:15:23.000 UTC,19,0x3186d9495653225cc3013fa4a600bccb774b3493
2026-04-04 11:14:59.000 UTC,7,0xabc775a8d9f0441613d93da1b2cfebe51acf2c24
2026-04-04 11:12:47.000 UTC,15,0x432d5614709dc6ecbab5b121ae1619c64cd69e9f
2026-04-04 11:10:23.000 UTC,5,0x3da0c3723d293154d2e1e6a48636cfe869f7d39e
2026-04-04 11:08:11.000 UTC,6,0xf2bc93770c822f3c155bf149916b38e60d675f43
2026-04-04 10:57:11.000 UTC,8,0xb050240d69a0d65ac33a7cdf451e000036adae1f
2026-04-04 10:56:47.000 UTC,5,0x1285416bb4e393eda46a97606db4cde5d6d64f98
2026-04-04 10:47:47.000 UTC,5,0xaac24e89ba9f3c07e55149fbc35bef1bdb1c80af
2026-04-04 10:45:23.000 UTC,5,0x03aacaee02fcf1ca326938d1638a903edf9a8c91
2026-04-04 10:44:59.000 UTC,5,0x28fc4c3848c82e4a671056c7fd16340757b79089
2026-04-04 10:43:59.000 UTC,7,0x2b8d1b86e90c5fc0bc5c9fee28c529a828526934
2026-04-04 10:43:35.000 UTC,5,0xf5bf52d49fe9f9dd82df2256949338055e341826
2026-04-04 10:38:59.000 UTC,5,0x5396777aa74eaa843b95a0d4b1f599ab65601605
2026-04-04 10:35:35.000 UTC,5,0x9134511e94b8f5f28ea7a12dd3e89bf5da99cdb1
2026-04-04 10:24:59.000 UTC,12,0x69e3d760fa7a8bec354a4813855c071c84c42aac
2026-04-04 10:19:59.000 UTC,10,0x973f97a3c03513f41ab84cf916cda2cedb8a8de0
2026-04-04 10:17:59.000 UTC,5,0xcafdf9a14ba90dcc95a4e6346c5af414b93c04b3
2026-04-04 10:09:23.000 UTC,6,0xfe7699eba99fdfafcfa1ea5e1b2e5a2dd0864ad1
2026-04-04 10:07:23.000 UTC,8,0xdf7894a965e0ed814fa356101e7a44b97ed03f9a
2026-04-04 10:06:35.000 UTC,5,0xb01ab7e74f22f579d1e337d2610a1ce390184143
2026-04-04 09:55:35.000 UTC,5,0x6b8153344c84f3196b6a04bc1eeefef41f141363
2026-04-04 09:51:11.000 UTC,13,0x133c6072c381453085d01e7b1197baabaf50789c
2026-04-04 09:49:35.000 UTC,16,0xdaf81e447aa71252f8d773f772a51fe4d1312d61
2026-04-04 09:45:11.000 UTC,7,0xb17de7fc8f65340d2db7d75aa22de2b2644408a0
2026-04-04 09:38:59.000 UTC,7,0x18ac1996f1dcecd44e82052454553a180d0430a8
2026-04-04 09:34:23.000 UTC,7,0xe6169c616a9fc519c7d11ee2156ef7eae27c8805
2026-04-04 09:34:11.000 UTC,6,0x6a6c12e6fdc393ec90ef8e2cd0fadd2e7d668ef6
2026-04-04 09:28:59.000 UTC,5,0x6b3307af44687af049c43b3a5457e3779308d222
2026-04-04 09:26:47.000 UTC,5,0x19da2cfccaa674b5db79cb3c3aa68fd186512023
2026-04-04 09:13:47.000 UTC,32,0x23786db8c0dcfb263f4b2d8b25885d64cd0fec65
2026-04-04 09:05:59.000 UTC,5,0x1543faf6ba23dbba1e68febc79d020eb5b190e4d
2026-04-04 09:02:59.000 UTC,5,0xb2d4b36992c229fc3f367e9353496734c1a9032d
2026-04-04 08:57:47.000 UTC,6,0xbd95320e8ae4315ef3fbaad8db4599909265f98b
2026-04-04 08:57:35.000 UTC,5,0x03e38ce0bc154811af2b98d227cb1d825663d180
2026-04-04 08:57:23.000 UTC,5,0x07dc77df4571aa5bb4e1f6e3afc0e8500f07d81b
2026-04-04 08:57:11.000 UTC,5,0x48f67c75f1640b9eec4c845e95f5d82650717a67
2026-04-04 08:51:59.000 UTC,6,0x1a2a5e805342d5139111488c59d72832055a3e8f
2026-04-04 08:44:59.000 UTC,5,0x044456b769e7217edd30dc3f1cabf5b1b56c53dc
2026-04-04 08:30:35.000 UTC,6,0x10e6f0995b8a0793900ddbac16c9df87a3f5bffe
2026-04-04 08:26:47.000 UTC,8,0xa4f1db38fc0a7e951485c43dd5343320587c1115
2026-04-04 08:25:59.000 UTC,6,0xfbe8c7bfaf516852b91e7c86dd7e0e485581a04a
2026-04-04 08:22:23.000 UTC,8,0x3fdaa210149d34cc4b392a1e3f96a44e3999c119
2026-04-04 08:20:35.000 UTC,8,0x422d8bd451521bdc043de1ae117dc003cb1edcf1
2026-04-04 08:20:11.000 UTC,5,0x5f445bf8cc962ac592aeaa26c3f5f55358cb0056
2026-04-04 08:14:59.000 UTC,6,0x7aeb61bb8b19abd5b3e5b1bf0efcb7eb814f9a32
2026-04-04 08:00:59.000 UTC,10,0xe967ef6db4341fa0232eeb40efbaa5b58c415c38
2026-04-04 07:59:59.000 UTC,7,0x2a047e25798232d0d031a9d3c8dec30dca774a06
2026-04-04 07:59:35.000 UTC,10,0x93db2e90f8b2b073010b425f9350202330bd923e
2026-04-04 07:57:47.000 UTC,7,0x6569e876bcb198794e3c6a958902b994d90619da
2026-04-04 07:54:23.000 UTC,7,0xfe24937e67d366a602194a09259f28a7bbb6050e
2026-04-04 07:45:59.000 UTC,13,0x08303e2ea798e76c27dd5b17d3c1b07d9b4d71bc
2026-04-04 07:43:11.000 UTC,5,0xe2bff825eaf74d91cd931a9a99210a8e1b963577
2026-04-04 07:41:23.000 UTC,7,0x8e9cd2f7693cefee462193bc98fc0dd340951c88
2026-04-04 07:24:47.000 UTC,5,0xd64b85220a577696a4caa66221fad770a49af0fc
2026-04-04 07:14:47.000 UTC,9,0x13b14ad750eda8fb9a77ab44564bb01fe57f971c
2026-04-04 07:12:11.000 UTC,5,0x30b03dc5feaf0b2e3889141fcd279ef0ada8f8e7
2026-04-04 07:08:11.000 UTC,6,0xa215fd6e3860470fba2d715d37d57c872301e6de
2026-04-04 07:06:59.000 UTC,5,0x48561c6fe484d49ca39fb992ac4513a523f6c8d0
2026-04-04 07:02:59.000 UTC,9,0x4d2e4c70ce20162be6531e8d07881c6dc96caf15
