wallet,sequence,label
0x19f39a56a0b9a954b8ff6e5e4fc0e9fbf1661e1a,<ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <DEX_SWAP> <VAL_MED> <TOKEN_TRANSFER> <VAL_ZERO>,0
0xf1e78f02598e317697711cb45d5bc812e3239886,<ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <TOKEN_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST>,0
0x7dedd266570bd119693dde10979786e74584379b,<ETH_TRANSFER> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST>,0
0xeca9e1f0bfe228a0dc106aa935b37fb711d93acc,<ETH_TRANSFER> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST>,0
0xcbb9111598c7a285ceb4b42da63f943471d8ab88,<ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <TOKEN_TRANSFER> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_DUST>,0
0x78be0b86dfd7c88ce10c155ccf272f5cae0cb36b,<ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_MED> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <OTHER_CONTRACT_CALL> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <OTHER_CONTRACT_CALL> <VAL_ZERO> <ETH_TRANSFER> <VAL_DUST>,0
0x20425b7cd1984a22131e2dc732910975e94d572b,<ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <ETH_TRANSFER> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <TOKEN_APPROVE> <VAL_ZERO> <DEX_SWAP> <VAL_ZERO> <ETH_TRANSFER> <VAL_MED> <DEX_SWAP> <VAL_MED>,0
0xb270df6cc3b8aae501e6c4d97db0102f4b3a8fe1,<ETH_TRANSFER> <VAL_MED> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_DUST> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_DUST> <DEX_SWAP> <VAL_MED> <DEX_SWAP> <VAL_MED>,0
0x5b4ffa088867999064bb2f9fd5175516f1e868a5,<ETH_TRANSFER> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_MED> <OTHER_CONTRACT_CALL> <VAL_MED>,0
0x408de9fe613e8c6b7fee5a3d4ccf63f63cd88c66,<ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_MED> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <ETH_TRANSFER> <VAL_DUST> <TOKEN_TRANSFER> <VAL_ZERO>,0
